code,taxon,tvk
3,Sphecodes spinulosus,NHMSYS0000876697
4,Spilomena beata,NHMSYS0000876702
4,Spilomena enslini,NHMSYS0000876704
4,Spilomena troglodytes,NHMSYS0000876705
3,Stelis breviuscula,NHMSYS0000876709
3,Stelis ornatula,NHMSYS0000876711
3,Stelis phaeoptera,NHMSYS0000876712
3,Stelis punctulatissima,NHMSYS0000876713
3,Stigmus pendulus,NHMSYS0000876716
3,Stigmus solskyi,NHMSYS0000876717
4,Strongylognathus testaceus,NHMSYS0000876720
4,Symmorphus connexus,NHMSYS0000876723
3,Symmorphus crassicornis,NHMSYS0000876724
3,Symmorphus gracilis,NHMSYS0000876725
5,Tachysphex nitidus,NHMSYS0000876732
3,Tachysphex pompiliformis,NHMSYS0000876735
5,Tapinoma erraticum,NHMSYS0000876738
4,Tapinoma melanocephalum,NHMSYS0000876739
4,Temnothorax albipennis,NHMSYS0000876741
4,Temnothorax interruptus,NHMSYS0000876742
3,Temnothorax nylanderi,NHMSYS0000876743
4,Tetramorium bicarinatum,NHMSYS0000876750
3,Tetramorium caespitum,NHMSYS0000876751
4,Tetramorium simillimum,NHMSYS0000876754
3,Tiphia femorata,NHMSYS0000876757
3,Tiphia minuta,NHMSYS0000876758
2,Trichrysis cyanea,NHMSYS0000876762
3,Trypoxylon attenuatum,NHMSYS0000876764
3,Trypoxylon clavicerum,NHMSYS0000876765
4,Trypoxylon medium,NHMSYS0000876766
4,Trypoxylon minus,NHMSYS0000876767
1,Vespa crabro,NHMSYS0000876769
3,Vespula austriaca,NHMSYS0000876780
2,Vespula germanica,NHMSYS0000876781
2,Vespula rufa,NHMSYS0000876782
2,Vespula vulgaris,NHMSYS0000876783
3,Xylocopa violacea,NHMSYS0000876788
2,Andrena nitida,NHMSYS0001685273
4,Gonatopus albosignatus,NHMSYS0020526926
4,Laelius femoralis,NHMSYS0020526932
